cohort,record_id,subject_id,record_path,cache_path,num_beats,num_segments
"01.Holter(Local Clinic), 124 records)",DN124_7972_20210907,"01.Holter(Local Clinic), 124 records)::DN124","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN124_7972_20210907.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN124_7972_20210907",63520,22
"01.Holter(Local Clinic), 124 records)",DN046_7133_20210816,"01.Holter(Local Clinic), 124 records)::DN046","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN046_7133_20210816.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN046_7133_20210816",63730,34
"01.Holter(Local Clinic), 124 records)",DN074_7149_20210820,"01.Holter(Local Clinic), 124 records)::DN074","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN074_7149_20210820.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN074_7149_20210820",28136,58
"01.Holter(Local Clinic), 124 records)",DN086_7149_20210927,"01.Holter(Local Clinic), 124 records)::DN086","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN086_7149_20210927.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN086_7149_20210927",81997,15
"01.Holter(Local Clinic), 124 records)",DN003_7000_20211001,"01.Holter(Local Clinic), 124 records)::DN003","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN003_7000_20211001.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN003_7000_20211001",31339,2
"01.Holter(Local Clinic), 124 records)",DN111_7150_20210927,"01.Holter(Local Clinic), 124 records)::DN111","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN111_7150_20210927.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN111_7150_20210927",83778,12
"01.Holter(Local Clinic), 124 records)",DN051_7135_20211015,"01.Holter(Local Clinic), 124 records)::DN051","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN051_7135_20211015.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN051_7135_20211015",103680,32
"01.Holter(Local Clinic), 124 records)",DN018_7120_20210917,"01.Holter(Local Clinic), 124 records)::DN018","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN018_7120_20210917.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN018_7120_20210917",37592,73
"01.Holter(Local Clinic), 124 records)",DN071_7142_20210913,"01.Holter(Local Clinic), 124 records)::DN071","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN071_7142_20210913.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN071_7142_20210913",69993,6
"01.Holter(Local Clinic), 124 records)",DN040_7129_20210907,"01.Holter(Local Clinic), 124 records)::DN040","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN040_7129_20210907.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN040_7129_20210907",41293,50
"01.Holter(Local Clinic), 124 records)",DN043_7130_20210827,"01.Holter(Local Clinic), 124 records)::DN043","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN043_7130_20210827.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN043_7130_20210827",59748,1
"01.Holter(Local Clinic), 124 records)",DN056_7139_20210819,"01.Holter(Local Clinic), 124 records)::DN056","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN056_7139_20210819.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN056_7139_20210819",63566,18
"01.Holter(Local Clinic), 124 records)",DN106_7150_20210913,"01.Holter(Local Clinic), 124 records)::DN106","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN106_7150_20210913.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN106_7150_20210913",66980,5
"01.Holter(Local Clinic), 124 records)",DN030_7127_20211011,"01.Holter(Local Clinic), 124 records)::DN030","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN030_7127_20211011.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN030_7127_20211011",56148,19
"01.Holter(Local Clinic), 124 records)",DN096_7150_20210823,"01.Holter(Local Clinic), 124 records)::DN096","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN096_7150_20210823.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN096_7150_20210823",55678,106
"01.Holter(Local Clinic), 124 records)",DN052_7136_20210830,"01.Holter(Local Clinic), 124 records)::DN052","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN052_7136_20210830.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN052_7136_20210830",64443,70
"01.Holter(Local Clinic), 124 records)",DN119_7150_20211018,"01.Holter(Local Clinic), 124 records)::DN119","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN119_7150_20211018.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN119_7150_20211018",76360,6
"01.Holter(Local Clinic), 124 records)",DN053_7138_20210824,"01.Holter(Local Clinic), 124 records)::DN053","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN053_7138_20210824.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN053_7138_20210824",33220,439
"01.Holter(Local Clinic), 124 records)",DN011_7118_20210811,"01.Holter(Local Clinic), 124 records)::DN011","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN011_7118_20210811.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN011_7118_20210811",27758,62
"01.Holter(Local Clinic), 124 records)",DN016_7119_20210915,"01.Holter(Local Clinic), 124 records)::DN016","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN016_7119_20210915.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN016_7119_20210915",62128,12
"01.Holter(Local Clinic), 124 records)",DN065_7141_20210812,"01.Holter(Local Clinic), 124 records)::DN065","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN065_7141_20210812.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN065_7141_20210812",63023,49
